Work item ID,Work type,Summary,Description,Priority,Parent,Labels
1001,Epic,FabroGym - Acceso y seguridad,Épica del PFC FabroGym para el módulo «Acceso y seguridad». Agrupa 3 requisito(s) funcional(es) trazados en la ERS/SRS PE5 v2.0.3.,,,fabrogym-pe5
1002,Epic,FabroGym - Clientes,Épica del PFC FabroGym para el módulo «Clientes». Agrupa 3 requisito(s) funcional(es) trazados en la ERS/SRS PE5 v2.0.3.,,,fabrogym-pe5
1003,Epic,FabroGym - Membresías,Épica del PFC FabroGym para el módulo «Membresías». Agrupa 5 requisito(s) funcional(es) trazados en la ERS/SRS PE5 v2.0.3.,,,fabrogym-pe5
1004,Epic,FabroGym - Pagos,Épica del PFC FabroGym para el módulo «Pagos». Agrupa 3 requisito(s) funcional(es) trazados en la ERS/SRS PE5 v2.0.3.,,,fabrogym-pe5
1005,Epic,FabroGym - Asistencias,Épica del PFC FabroGym para el módulo «Asistencias». Agrupa 2 requisito(s) funcional(es) trazados en la ERS/SRS PE5 v2.0.3.,,,fabrogym-pe5
1006,Epic,FabroGym - Inventario,Épica del PFC FabroGym para el módulo «Inventario». Agrupa 5 requisito(s) funcional(es) trazados en la ERS/SRS PE5 v2.0.3.,,,fabrogym-pe5
1007,Epic,FabroGym - Ventas,Épica del PFC FabroGym para el módulo «Ventas». Agrupa 1 requisito(s) funcional(es) trazados en la ERS/SRS PE5 v2.0.3.,,,fabrogym-pe5
1008,Epic,FabroGym - Caja,Épica del PFC FabroGym para el módulo «Caja». Agrupa 1 requisito(s) funcional(es) trazados en la ERS/SRS PE5 v2.0.3.,,,fabrogym-pe5
1009,Epic,FabroGym - Novedades,Épica del PFC FabroGym para el módulo «Novedades». Agrupa 1 requisito(s) funcional(es) trazados en la ERS/SRS PE5 v2.0.3.,,,fabrogym-pe5
1010,Epic,FabroGym - Instructores,Épica del PFC FabroGym para el módulo «Instructores». Agrupa 1 requisito(s) funcional(es) trazados en la ERS/SRS PE5 v2.0.3.,,,fabrogym-pe5
1011,Epic,FabroGym - Rutinas,Épica del PFC FabroGym para el módulo «Rutinas». Agrupa 4 requisito(s) funcional(es) trazados en la ERS/SRS PE5 v2.0.3.,,,fabrogym-pe5
1012,Epic,FabroGym - Reportes,Épica del PFC FabroGym para el módulo «Reportes». Agrupa 1 requisito(s) funcional(es) trazados en la ERS/SRS PE5 v2.0.3.,,,fabrogym-pe5
1013,Epic,FabroGym - Configuración,Épica del PFC FabroGym para el módulo «Configuración». Agrupa 2 requisito(s) funcional(es) trazados en la ERS/SRS PE5 v2.0.3.,,,fabrogym-pe5
1014,Epic,FabroGym - Continuidad,Épica del PFC FabroGym para el módulo «Continuidad». Agrupa 2 requisito(s) funcional(es) trazados en la ERS/SRS PE5 v2.0.3.,,,fabrogym-pe5
1015,Epic,FabroGym - Inteligencia artificial,Épica del PFC FabroGym para el módulo «Inteligencia artificial». Agrupa 6 requisito(s) funcional(es) trazados en la ERS/SRS PE5 v2.0.3.,,,fabrogym-pe5
2001,Story,[RF-AUT-01] Autenticar usuario,"RF: RF-AUT-01

Historia de usuario:
Como Personal autorizado, quiero autenticar usuario para proteger las operaciones y conservar trazabilidad.

Enunciado verificable:
El sistema deberá permitir iniciar y cerrar sesión mediante credenciales individuales no biométricas.

Criterio de aceptación (BDD):
Dado un usuario con credenciales válidas, cuando inicie sesión, entonces el sistema deberá autenticarlo y habilitar únicamente las opciones permitidas para su rol; cuando cierre sesión, deberá invalidar la sesión activa.

Trazabilidad:
- Fuente: EV-ENTR02-07
- Caso de uso: CU-01
- Caso de prueba: CP-01
- Componente: Acceso y seguridad
- Estado de traza: Completa
- Estado en ERS: Aprobado en baseline v2.0
- Prioridad MoSCoW: Must",High,1001,fabrogym-pe5
2002,Story,[RF-AUT-02] Aplicar permisos por rol,"RF: RF-AUT-02

Historia de usuario:
Como Administrador, quiero aplicar permisos por rol para proteger las operaciones y conservar trazabilidad.

Enunciado verificable:
El sistema deberá autorizar cada operación según los roles Superadministrador, Dueño, Recepcionista, Instructor y Cliente, y deberá denegar por defecto toda operación no asignada.

Criterio de aceptación (BDD):
Dado un usuario autenticado con un rol definido, cuando intente ejecutar una operación, entonces el sistema deberá permitirla solo si el permiso está asignado a ese rol y deberá denegarla en caso contrario.

Trazabilidad:
- Fuente: EV-ENTR02-07;EV-ENTR03-06;EV-ENTR08-04
- Caso de uso: CU-02
- Caso de prueba: CP-02
- Componente: Acceso y seguridad
- Estado de traza: Completa
- Estado en ERS: Aprobado en baseline v2.0
- Prioridad MoSCoW: Must",High,1001,fabrogym-pe5
2003,Story,[RF-AUT-03] Auditar cambios criticos,"RF: RF-AUT-03

Historia de usuario:
Como Administrador, quiero auditar cambios criticos para proteger las operaciones y conservar trazabilidad.

Enunciado verificable:
El sistema deberá registrar eventos de auditoría para cambios críticos en pagos, ventas, inventario, membresías, precios y permisos, incluyendo actor, fecha, acción, valor anterior y valor nuevo.

Criterio de aceptación (BDD):
Dado un cambio crítico confirmado, cuando el sistema lo registre, entonces deberá conservar en auditoría el actor, fecha, acción, valor anterior y valor nuevo asociados al cambio.

Trazabilidad:
- Fuente: EV-ENTR02-04;EV-ENTR02-07;EV-ENTR03-06
- Caso de uso: CU-20
- Caso de prueba: CP-20
- Componente: Acceso y seguridad
- Estado de traza: Completa
- Estado en ERS: Aprobado en baseline v2.0
- Prioridad MoSCoW: Should",Medium,1001,fabrogym-pe5
2004,Story,[RF-CLI-01] Registrar cliente minimo,"RF: RF-CLI-01

Historia de usuario:
Como Recepcion, quiero registrar cliente minimo para mantener registros únicos y consultables.

Enunciado verificable:
El sistema deberá registrar un cliente con código interno, nombre de uso y un medio de contacto, sin recopilar datos de salud, biometría, dirección domiciliaria ni imagen corporal.

Criterio de aceptación (BDD):
Dado un formulario con código interno, nombre de uso y al menos un medio de contacto válido, cuando Recepción confirme el registro, entonces el sistema deberá crear un único cliente y no deberá solicitar datos de salud, biometría, dirección domiciliaria ni imagen corporal.

Trazabilidad:
- Fuente: EV-ENTR01-02;EV-ENTR02-02;EV-ENTR03-02;EV-ENTR08-01
- Caso de uso: CU-03
- Caso de prueba: CP-03
- Componente: Clientes
- Estado de traza: Completa
- Estado en ERS: Aprobado en baseline v2.0
- Prioridad MoSCoW: Must",High,1002,fabrogym-pe5
2005,Story,[RF-CLI-02] Buscar y consultar cliente,"RF: RF-CLI-02

Historia de usuario:
Como Recepcion, quiero buscar y consultar cliente para mantener registros únicos y consultables.

Enunciado verificable:
El sistema deberá buscar clientes por código, nombre normalizado o contacto y deberá mostrar membresía, último pago, asistencia y novedades de acuerdo con los permisos del usuario.

Criterio de aceptación (BDD):
Dado un criterio de búsqueda válido, cuando Recepción consulte un cliente, entonces el sistema deberá devolver las coincidencias y mostrar únicamente membresía, último pago, asistencia y novedades autorizadas por el rol.

Trazabilidad:
- Fuente: EV-ENTR02-03;EV-ENTR02-08;EV-ENTR08-05
- Caso de uso: CU-04
- Caso de prueba: CP-04
- Componente: Clientes
- Estado de traza: Completa
- Estado en ERS: Aprobado en baseline v2.0
- Prioridad MoSCoW: Must",High,1002,fabrogym-pe5
2006,Story,[RF-CLI-03] Actualizar o reactivar sin duplicar,"RF: RF-CLI-03

Historia de usuario:
Como Recepcion, quiero actualizar o reactivar sin duplicar para mantener registros únicos y consultables.

Enunciado verificable:
El sistema deberá actualizar o reactivar un registro existente y deberá advertir coincidencias antes de crear un cliente nuevo.

Criterio de aceptación (BDD):
Dado que existe un cliente coincidente por código o contacto, cuando Recepción intente registrar o reactivar el perfil, entonces el sistema deberá advertir la coincidencia y permitir actualizar o reactivar el registro existente sin crear un duplicado.

Trazabilidad:
- Fuente: EV-ENTR02-02;EV-ENTR03-02;EV-ENTR04-01;EV-ENTR05-02
- Caso de uso: CU-05
- Caso de prueba: CP-05
- Componente: Clientes
- Estado de traza: Completa
- Estado en ERS: Aprobado en baseline v2.0
- Prioridad MoSCoW: Must",High,1002,fabrogym-pe5
2007,Story,[RF-MEM-01] Configurar planes y promociones,"RF: RF-MEM-01

Historia de usuario:
Como Administrador, quiero configurar planes y promociones para controlar la vigencia del servicio.

Enunciado verificable:
El sistema deberá administrar el nombre, duración, precio, vigencia y estado de los planes y promociones.

Criterio de aceptación (BDD):
Dado un usuario autorizado y los datos obligatorios de un plan o promoción, cuando guarde la configuración, entonces el sistema deberá conservar nombre, duración, precio, vigencia y estado y deberá mostrar el registro actualizado.

Trazabilidad:
- Fuente: EV-ENTR02-01;EV-ENTR04-01
- Caso de uso: CU-06
- Caso de prueba: CP-06
- Componente: Membresías
- Estado de traza: Completa
- Estado en ERS: Aprobado en baseline v2.0
- Prioridad MoSCoW: Must",High,1003,fabrogym-pe5
